interval,event,switch,switch_name,port,target_type,target_index,flow_id,source_terminal,destination_terminal,creation_interval,age_intervals,capacity_gbit,queued_before_gbit,send_gbit,remaining_after_gbit,dropped_gbit
2,stage_arrival,40,S29,1,switch,45,51789,107,0,0,2,131.396,0,0,62.4062,0
2,stage_arrival,56,S36,2,switch,4,51784,35,0,0,2,112.305,0,0,50.8221,0
2,stage_arrival,17,S35,1,switch,56,51784,35,0,0,2,252.252,0,0,50.877,0
2,stage_arrival,13,S40,0,switch,6,51781,118,0,0,2,162.644,0,0,62.4125,0
2,allocate_send_arrival,37,S32,0,switch,0,51783,108,0,0,2,103.31,0,51.6085,0,0
2,allocate_send_arrival,0,S00,5,terminal,0,51786,10,0,0,2,1000,0,62.4851,0,0
2,allocate_send_arrival,31,S62,3,switch,5,51793,61,0,0,2,238.676,0,62.4341,0,0
2,allocate_send_arrival,31,S62,3,switch,5,51785,63,0,0,2,238.676,0,62.5,0,0
2,allocate_send_arrival,30,S14,2,switch,31,51793,61,0,0,2,290.433,0,62.5,0,0
2,allocate_send_arrival,47,S25,2,switch,4,51780,95,0,0,2,166.312,0,50.877,0,0
2,allocate_send_arrival,42,S20,2,switch,3,51791,85,0,0,2,251.806,0,39.7097,0,0
2,allocate_send_arrival,42,S20,2,switch,3,51788,84,0,0,2,251.806,0,39.7097,0,0
2,allocate_send_arrival,61,S46,1,switch,57,51795,123,0,0,2,199.213,0,50.877,0,0
2,allocate_send_arrival,59,S41,0,switch,13,51781,118,0,0,2,132.99,0,62.5,0,0
2,allocate_send_arrival,13,S40,0,switch,6,51781,118,0,0,2,162.644,0,62.4125,0,0
2,allocate_send_arrival,36,S18,0,switch,35,51794,72,0,0,2,247.316,0,51.655,0,0
2,allocate_send_arrival,57,S47,1,switch,50,51795,123,0,0,2,259.289,0,50.8007,0,0
2,allocate_send_arrival,5,S63,0,switch,0,51785,63,0,0,2,259.679,0,62.4466,0,0
2,allocate_send_arrival,5,S63,0,switch,0,51786,10,0,0,2,259.679,0,62.5,0,0
2,allocate_send_arrival,26,S33,0,switch,3,51792,67,0,0,2,174.708,0,39.662,0,0
2,allocate_send_arrival,3,S27,0,switch,0,51791,85,0,0,2,119.129,0,39.6739,0,0
2,allocate_send_arrival,3,S27,0,switch,0,51788,84,0,0,2,119.129,0,39.6759,0,0
2,allocate_send_arrival,17,S35,1,switch,56,51784,35,0,0,2,252.252,0,50.877,0,0
2,allocate_send_arrival,4,S37,0,switch,0,51782,112,0,0,2,203.508,0,50.8323,0,0
2,allocate_send_arrival,4,S37,0,switch,0,51780,95,0,0,2,203.508,0,50.8346,7.27596e-15,0
2,allocate_send_arrival,35,S17,2,switch,37,51794,72,0,0,2,246.878,0,51.5982,0,0
2,allocate_send_arrival,40,S29,1,switch,45,51789,107,0,0,2,131.396,0,62.4062,0,0
2,allocate_send_arrival,54,S31,1,switch,37,51783,108,0,0,2,242.335,0,51.655,0,0
2,allocate_send_arrival,56,S36,2,switch,4,51782,112,0,0,2,112.305,0,50.877,0,0
2,allocate_send_arrival,56,S36,2,switch,4,51784,35,0,0,2,112.305,0,50.8221,0,0
2,allocate_send_arrival,1,S01,0,switch,0,51787,21,0,0,2,159.728,0,62.4437,0,0
2,allocate_send_arrival,53,S55,1,switch,40,51789,107,0,0,2,298.054,0,62.5,0,0
2,allocate_send_arrival,33,S34,0,switch,26,51792,67,0,0,2,235.741,0,39.7097,0,0
2,allocate_send_arrival,34,S57,2,switch,14,51790,124,0,0,2,113.541,0,62.4062,0,0
2,allocate_send_arrival,62,S56,1,switch,34,51790,124,0,0,2,238.377,0,62.5,0,0
2,allocate_send_arrival,10,S61,0,switch,1,51787,21,0,0,2,227.172,0,62.5,0,0
3,stage_arrival,10,S61,0,switch,1,51787,21,0,0,3,227.172,0,0,62.5,0
3,stage_arrival,0,S00,5,terminal,0,51780,95,0,0,3,1000,0,0,50.8346,0
3,stage_arrival,5,S63,0,switch,0,51786,10,0,0,3,259.679,0,0,62.5,0
3,stage_arrival,0,S00,5,terminal,0,51787,21,0,0,3,1000,0,0,62.4437,0
3,stage_arrival,37,S32,0,switch,0,51783,108,0,0,3,103.31,0,0,51.655,0
3,stage_arrival,4,S37,0,switch,0,51780,95,0,0,3,203.508,0,0,50.877,0
3,stage_arrival,3,S27,0,switch,0,51791,85,0,0,3,119.129,0,0,39.7097,0
3,stage_arrival,50,S38,2,switch,4,51795,123,0,0,3,290.506,0,0,50.8007,0
3,stage_arrival,1,S01,0,switch,0,51787,21,0,0,3,159.728,0,0,62.5,0
3,stage_arrival,4,S37,0,switch,0,51784,35,0,0,3,203.508,0,0,50.8221,0
3,stage_arrival,62,S56,1,switch,34,51790,124,0,0,3,238.377,0,0,62.5,0
3,stage_arrival,30,S14,2,switch,31,51793,61,0,0,3,290.433,0,0,62.5,0
3,stage_arrival,54,S31,1,switch,37,51783,108,0,0,3,242.335,0,0,51.655,0
3,stage_arrival,35,S17,2,switch,37,51794,72,0,0,3,246.878,0,0,51.655,0
3,stage_arrival,0,S00,5,terminal,0,51791,85,0,0,3,1000,0,0,39.6739,0
3,stage_arrival,45,S28,2,switch,43,51789,107,0,0,3,227.415,0,0,62.4062,0
3,stage_arrival,31,S62,3,switch,5,51793,61,0,0,3,238.676,0,0,62.5,0
3,stage_arrival,17,S35,1,switch,56,51784,35,0,0,3,252.252,0,0,50.877,0
3,stage_arrival,53,S55,1,switch,40,51789,107,0,0,3,298.054,0,0,62.5,0
3,stage_arrival,13,S40,0,switch,6,51781,118,0,0,3,162.644,0,0,62.5,0
3,stage_arrival,31,S62,3,switch,5,51785,63,0,0,3,238.676,0,0,62.5,0
3,stage_arrival,61,S46,1,switch,57,51795,123,0,0,3,199.213,0,0,50.877,0
3,stage_arrival,5,S63,0,switch,0,51785,63,0,0,3,259.679,0,0,62.5,0
3,stage_arrival,3,S27,0,switch,0,51792,67,0,0,3,119.129,0,0,39.662,0
3,stage_arrival,6,S02,0,switch,1,51781,118,0,0,3,138.732,0,0,62.4125,0
3,stage_arrival,14,S58,4,switch,5,51790,124,0,0,3,193.819,0,0,62.4062,0
3,stage_arrival,47,S25,2,switch,4,51780,95,0,0,3,166.312,0,0,50.877,0
3,stage_arrival,56,S36,2,switch,4,51784,35,0,0,3,112.305,0,0,50.877,0
3,stage_arrival,26,S33,0,switch,3,51792,67,0,0,3,174.708,0,0,39.7097,0
3,stage_arrival,33,S34,0,switch,26,51792,67,0,0,3,235.741,0,0,39.7097,0
3,stage_arrival,42,S20,2,switch,3,51791,85,0,0,3,251.806,0,0,39.7097,0
3,stage_arrival,0,S00,5,terminal,0,51782,112,0,0,3,1000,0,0,50.8323,0
3,stage_arrival,3,S27,0,switch,0,51788,84,0,0,3,119.129,0,0,39.7097,0
3,stage_arrival,40,S29,1,switch,45,51789,107,0,0,3,131.396,0,0,62.5,0
3,stage_arrival,59,S41,0,switch,13,51781,118,0,0,3,132.99,0,0,62.5,0
3,stage_arrival,4,S37,0,switch,0,51782,112,0,0,3,203.508,0,0,50.877,0
3,stage_arrival,37,S32,0,switch,0,51794,72,0,0,3,103.31,0,0,51.5982,0
3,stage_arrival,42,S20,2,switch,3,51788,84,0,0,3,251.806,0,0,39.7097,0
3,stage_arrival,57,S47,1,switch,50,51795,123,0,0,3,259.289,0,0,50.877,0
3,stage_arrival,56,S36,2,switch,4,51782,112,0,0,3,112.305,0,0,50.877,0
3,stage_arrival,0,S00,5,terminal,0,51786,10,0,0,3,1000,0,0,62.5,0
3,stage_arrival,36,S18,0,switch,35,51794,72,0,0,3,247.316,0,0,51.655,0
3,stage_arrival,0,S00,5,terminal,0,51783,108,0,0,3,1000,0,0,51.6085,0
3,stage_arrival,0,S00,5,terminal,0,51788,84,0,0,3,1000,0,0,39.6759,0
3,stage_arrival,0,S00,5,terminal,0,51785,63,0,0,3,1000,0,0,62.4466,0
3,stage_arrival,5,S63,0,switch,0,51793,61,0,0,3,259.679,0,0,62.4341,0
3,stage_arrival,34,S57,2,switch,14,51790,124,0,0,3,113.541,0,0,62.5,0
3,allocate_send_arrival,31,S62,3,switch,5,51793,61,0,0,3,238.676,0,62.5,0,0
3,allocate_send_arrival,31,S62,3,switch,5,51785,63,0,0,3,238.676,0,62.5,0,0
3,allocate_send_arrival,0,S00,5,terminal,0,51780,95,0,0,3,1000,0,50.8346,0,0
3,allocate_send_arrival,0,S00,5,terminal,0,51787,21,0,0,3,1000,0,62.4437,0,0
3,allocate_send_arrival,0,S00,5,terminal,0,51791,85,0,0,3,1000,0,39.6739,0,0
3,allocate_send_arrival,0,S00,5,terminal,0,51782,112,0,0,3,1000,0,50.8323,0,0
3,allocate_send_arrival,0,S00,5,terminal,0,51786,10,0,0,3,1000,0,62.5,0,0
3,allocate_send_arrival,0,S00,5,terminal,0,51783,108,0,0,3,1000,0,51.6085,0,0
3,allocate_send_arrival,0,S00,5,terminal,0,51788,84,0,0,3,1000,0,39.6759,0,0
3,allocate_send_arrival,0,S00,5,terminal,0,51785,63,0,0,3,1000,0,62.4466,0,0
3,allocate_send_arrival,59,S41,0,switch,13,51781,118,0,0,3,132.99,0,62.5,0,0
3,allocate_send_arrival,6,S02,0,switch,1,51781,118,0,0,3,138.732,0,62.4125,0,0
3,allocate_send_arrival,47,S25,2,switch,4,51780,95,0,0,3,166.312,0,50.877,0,0
3,allocate_send_arrival,53,S55,1,switch,40,51789,107,0,0,3,298.054,0,62.5,0,0
3,allocate_send_arrival,4,S37,0,switch,0,51780,95,0,0,3,203.508,0,50.877,0,0
3,allocate_send_arrival,4,S37,0,switch,0,51784,35,0,0,3,203.508,0,50.8221,0,0
3,allocate_send_arrival,4,S37,0,switch,0,51782,112,0,0,3,203.508,0,50.877,0,0
3,allocate_send_arrival,14,S58,4,switch,5,51790,124,0,0,3,193.819,0,62.4062,0,0
3,allocate_send_arrival,62,S56,1,switch,34,51790,124,0,0,3,238.377,0,62.5,0,0
3,allocate_send_arrival,3,S27,0,switch,0,51791,85,0,0,3,119.129,0,39.7097,0,0
3,allocate_send_arrival,3,S27,0,switch,0,51792,67,0,0,3,119.129,0,39.662,0,0
3,allocate_send_arrival,3,S27,0,switch,0,51788,84,0,0,3,119.129,0,39.7097,0,0
3,allocate_send_arrival,5,S63,0,switch,0,51786,10,0,0,3,259.679,0,62.5,0,0
3,allocate_send_arrival,5,S63,0,switch,0,51785,63,0,0,3,259.679,0,62.5,0,0
3,allocate_send_arrival,5,S63,0,switch,0,51793,61,0,0,3,259.679,0,62.4341,0,0
3,allocate_send_arrival,56,S36,2,switch,4,51784,35,0,0,3,112.305,0,50.877,0,0
3,allocate_send_arrival,56,S36,2,switch,4,51782,112,0,0,3,112.305,0,50.877,0,0
3,allocate_send_arrival,37,S32,0,switch,0,51783,108,0,0,3,103.31,0,51.655,0,0
3,allocate_send_arrival,37,S32,0,switch,0,51794,72,0,0,3,103.31,0,51.5982,0,0
3,allocate_send_arrival,10,S61,0,switch,1,51787,21,0,0,3,227.172,0,62.5,0,0
3,allocate_send_arrival,40,S29,1,switch,45,51789,107,0,0,3,131.396,0,62.5,0,0
3,allocate_send_arrival,17,S35,1,switch,56,51784,35,0,0,3,252.252,0,50.877,0,0
3,allocate_send_arrival,36,S18,0,switch,35,51794,72,0,0,3,247.316,0,51.655,0,0
3,allocate_send_arrival,45,S28,2,switch,43,51789,107,0,0,3,227.415,0,62.4062,0,0
3,allocate_send_arrival,26,S33,0,switch,3,51792,67,0,0,3,174.708,0,39.7097,0,0
3,allocate_send_arrival,1,S01,0,switch,0,51787,21,0,0,3,159.728,0,62.5,0,0
3,allocate_send_arrival,35,S17,2,switch,37,51794,72,0,0,3,246.878,0,51.655,0,0
3,allocate_send_arrival,57,S47,1,switch,50,51795,123,0,0,3,259.289,0,50.877,0,0
3,allocate_send_arrival,42,S20,2,switch,3,51791,85,0,0,3,251.806,0,39.7097,0,0
3,allocate_send_arrival,42,S20,2,switch,3,51788,84,0,0,3,251.806,0,39.7097,0,0
3,allocate_send_arrival,34,S57,2,switch,14,51790,124,0,0,3,113.541,0,62.5,0,0
3,allocate_send_arrival,54,S31,1,switch,37,51783,108,0,0,3,242.335,0,51.655,0,0
3,allocate_send_arrival,61,S46,1,switch,57,51795,123,0,0,3,199.213,0,50.877,0,0
3,allocate_send_arrival,50,S38,2,switch,4,51795,123,0,0,3,290.506,0,50.8007,0,0
3,allocate_send_arrival,13,S40,0,switch,6,51781,118,0,0,3,162.644,0,62.5,0,0
3,allocate_send_arrival,30,S14,2,switch,31,51793,61,0,0,3,290.433,0,62.5,0,0
3,allocate_send_arrival,33,S34,0,switch,26,51792,67,0,0,3,235.741,0,39.7097,0,0
4,stage_arrival,54,S31,1,switch,37,51783,108,0,0,4,242.335,0,0,51.655,0
4,stage_arrival,5,S63,0,switch,0,51786,10,0,0,4,259.679,0,0,62.5,0
4,stage_arrival,59,S41,0,switch,13,51781,118,0,0,4,132.99,0,0,62.5,0
4,stage_arrival,40,S29,1,switch,45,51789,107,0,0,4,131.396,0,0,62.5,0
4,stage_arrival,0,S00,5,terminal,0,51792,67,0,0,4,1000,0,0,39.662,0
4,stage_arrival,62,S56,1,switch,34,51790,124,0,0,4,238.377,0,0,62.5,0
4,stage_arrival,1,S01,0,switch,0,51781,118,0,0,4,159.728,0,0,62.4125,0
4,stage_arrival,43,S22,0,switch,0,51789,107,0,0,4,203.304,0,0,62.4062,0
4,stage_arrival,57,S47,1,switch,50,51795,123,0,0,4,259.289,0,0,50.877,0
4,stage_arrival,0,S00,5,terminal,0,51782,112,0,0,4,1000,0,0,50.877,0
4,stage_arrival,1,S01,0,switch,0,51787,21,0,0,4,159.728,0,0,62.5,0
4,stage_arrival,33,S34,0,switch,26,51792,67,0,0,4,235.741,0,0,39.7097,0
4,stage_arrival,34,S57,2,switch,14,51790,124,0,0,4,113.541,0,0,62.5,0
4,stage_arrival,0,S00,5,terminal,0,51780,95,0,0,4,1000,0,0,50.877,0
4,stage_arrival,4,S37,0,switch,0,51782,112,0,0,4,203.508,0,0,50.877,0
4,stage_arrival,36,S18,0,switch,35,51794,72,0,0,4,247.316,0,0,51.655,0
4,stage_arrival,3,S27,0,switch,0,51792,67,0,0,4,119.129,0,0,39.7097,0
4,stage_arrival,0,S00,5,terminal,0,51788,84,0,0,4,1000,0,0,39.7097,0
4,stage_arrival,3,S27,0,switch,0,51788,84,0,0,4,119.129,0,0,39.7097,0
4,stage_arrival,53,S55,1,switch,40,51789,107,0,0,4,298.054,0,0,62.5,0
4,stage_arrival,17,S35,1,switch,56,51784,35,0,0,4,252.252,0,0,50.877,0
4,stage_arrival,61,S46,1,switch,57,51795,123,0,0,4,199.213,0,0,50.877,0
4,stage_arrival,14,S58,4,switch,5,51790,124,0,0,4,193.819,0,0,62.5,0
4,stage_arrival,13,S40,0,switch,6,51781,118,0,0,4,162.644,0,0,62.5,0
4,stage_arrival,37,S32,0,switch,0,51794,72,0,0,4,103.31,0,0,51.655,0
4,stage_arrival,56,S36,2,switch,4,51782,112,0,0,4,112.305,0,0,50.877,0
4,stage_arrival,56,S36,2,switch,4,51784,35,0,0,4,112.305,0,0,50.877,0
4,stage_arrival,10,S61,0,switch,1,51787,21,0,0,4,227.172,0,0,62.5,0
4,stage_arrival,47,S25,2,switch,4,51780,95,0,0,4,166.312,0,0,50.877,0
4,stage_arrival,6,S02,0,switch,1,51781,118,0,0,4,138.732,0,0,62.5,0
4,stage_arrival,0,S00,5,terminal,0,51787,21,0,0,4,1000,0,0,62.5,0
4,stage_arrival,0,S00,5,terminal,0,51785,63,0,0,4,1000,0,0,62.5,0
4,stage_arrival,35,S17,2,switch,37,51794,72,0,0,4,246.878,0,0,51.655,0
4,stage_arrival,30,S14,2,switch,31,51793,61,0,0,4,290.433,0,0,62.5,0
4,stage_arrival,50,S38,2,switch,4,51795,123,0,0,4,290.506,0,0,50.877,0
4,stage_arrival,31,S62,3,switch,5,51793,61,0,0,4,238.676,0,0,62.5,0
4,stage_arrival,0,S00,5,terminal,0,51794,72,0,0,4,1000,0,0,51.5982,0
4,stage_arrival,0,S00,5,terminal,0,51791,85,0,0,4,1000,0,0,39.7097,0
4,stage_arrival,4,S37,0,switch,0,51784,35,0,0,4,203.508,0,0,50.877,0
4,stage_arrival,0,S00,5,terminal,0,51784,35,0,0,4,1000,0,0,50.8221,0
4,stage_arrival,26,S33,0,switch,3,51792,67,0,0,4,174.708,0,0,39.7097,0
4,stage_arrival,42,S20,2,switch,3,51788,84,0,0,4,251.806,0,0,39.7097,0
4,stage_arrival,45,S28,2,switch,43,51789,107,0,0,4,227.415,0,0,62.5,0
4,stage_arrival,42,S20,2,switch,3,51791,85,0,0,4,251.806,0,0,39.7097,0
4,stage_arrival,31,S62,3,switch,5,51785,63,0,0,4,238.676,0,0,62.5,0
4,stage_arrival,5,S63,0,switch,0,51793,61,0,0,4,259.679,0,0,62.5,0
4,stage_arrival,0,S00,5,terminal,0,51793,61,0,0,4,1000,0,0,62.4341,0
4,stage_arrival,5,S63,0,switch,0,51785,63,0,0,4,259.679,0,0,62.5,0
4,stage_arrival,4,S37,0,switch,0,51795,123,0,0,4,203.508,0,0,50.8007,0
4,stage_arrival,0,S00,5,terminal,0,51786,10,0,0,4,1000,0,0,62.5,0
4,stage_arrival,37,S32,0,switch,0,51783,108,0,0,4,103.31,0,0,51.655,0
4,stage_arrival,5,S63,0,switch,0,51790,124,0,0,4,259.679,0,0,62.4062,0
4,stage_arrival,4,S37,0,switch,0,51780,95,0,0,4,203.508,0,0,50.877,0
4,stage_arrival,3,S27,0,switch,0,51791,85,0,0,4,119.129,0,0,39.7097,0
4,stage_arrival,0,S00,5,terminal,0,51783,108,0,0,4,1000,0,0,51.655,0
4,allocate_send_arrival,10,S61,0,switch,1,51787,21,0,0,4,227.172,0,62.5,0,0
4,allocate_send_arrival,3,S27,0,switch,0,51792,67,0,0,4,119.129,0,39.7097,0,0
4,allocate_send_arrival,3,S27,0,switch,0,51788,84,0,0,4,119.129,0,39.7097,0,0
4,allocate_send_arrival,3,S27,0,switch,0,51791,85,0,0,4,119.129,0,39.7097,0,0
4,allocate_send_arrival,34,S57,2,switch,14,51790,124,0,0,4,113.541,0,62.5,0,0
4,allocate_send_arrival,33,S34,0,switch,26,51792,67,0,0,4,235.741,0,39.7097,0,0
4,allocate_send_arrival,14,S58,4,switch,5,51790,124,0,0,4,193.819,0,62.5,0,0
4,allocate_send_arrival,35,S17,2,switch,37,51794,72,0,0,4,246.878,0,51.655,0,0
4,allocate_send_arrival,47,S25,2,switch,4,51780,95,0,0,4,166.312,0,50.877,0,0
4,allocate_send_arrival,56,S36,2,switch,4,51782,112,0,0,4,112.305,0,50.877,0,0
4,allocate_send_arrival,56,S36,2,switch,4,51784,35,0,0,4,112.305,0,50.877,0,0
4,allocate_send_arrival,37,S32,0,switch,0,51794,72,0,0,4,103.31,0,51.655,0,0
4,allocate_send_arrival,37,S32,0,switch,0,51783,108,0,0,4,103.31,0,51.655,0,0
4,allocate_send_arrival,30,S14,2,switch,31,51793,61,0,0,4,290.433,0,62.5,0,0
4,allocate_send_arrival,5,S63,0,switch,0,51786,10,0,0,4,259.679,0,62.5,0,0
4,allocate_send_arrival,5,S63,0,switch,0,51793,61,0,0,4,259.679,0,62.5,0,0
4,allocate_send_arrival,5,S63,0,switch,0,51785,63,0,0,4,259.679,0,62.5,0,0
4,allocate_send_arrival,5,S63,0,switch,0,51790,124,0,0,4,259.679,0,62.4062,0,0
4,allocate_send_arrival,1,S01,0,switch,0,51781,118,0,0,4,159.728,0,62.4125,0,0
4,allocate_send_arrival,1,S01,0,switch,0,51787,21,0,0,4,159.728,0,62.5,0,0
4,allocate_send_arrival,57,S47,1,switch,50,51795,123,0,0,4,259.289,0,50.877,0,0
4,allocate_send_arrival,36,S18,0,switch,35,51794,72,0,0,4,247.316,0,51.655,0,0
4,allocate_send_arrival,6,S02,0,switch,1,51781,118,0,0,4,138.732,0,62.5,0,0
4,allocate_send_arrival,31,S62,3,switch,5,51793,61,0,0,4,238.676,0,62.5,0,0
4,allocate_send_arrival,31,S62,3,switch,5,51785,63,0,0,4,238.676,0,62.5,0,0
4,allocate_send_arrival,17,S35,1,switch,56,51784,35,0,0,4,252.252,0,50.877,0,0
4,allocate_send_arrival,45,S28,2,switch,43,51789,107,0,0,4,227.415,0,62.5,0,0
4,allocate_send_arrival,53,S55,1,switch,40,51789,107,0,0,4,298.054,0,62.5,0,0
4,allocate_send_arrival,0,S00,5,terminal,0,51792,67,0,0,4,1000,0,39.662,0,0
4,allocate_send_arrival,0,S00,5,terminal,0,51782,112,0,0,4,1000,0,50.877,0,0
4,allocate_send_arrival,0,S00,5,terminal,0,51780,95,0,0,4,1000,0,50.877,0,0
4,allocate_send_arrival,0,S00,5,terminal,0,51788,84,0,0,4,1000,0,39.7097,0,0
4,allocate_send_arrival,0,S00,5,terminal,0,51787,21,0,0,4,1000,0,62.5,0,0
4,allocate_send_arrival,0,S00,5,terminal,0,51785,63,0,0,4,1000,0,62.5,0,0
4,allocate_send_arrival,0,S00,5,terminal,0,51794,72,0,0,4,1000,0,51.5982,0,0
4,allocate_send_arrival,0,S00,5,terminal,0,51791,85,0,0,4,1000,0,39.7097,0,0
4,allocate_send_arrival,0,S00,5,terminal,0,51784,35,0,0,4,1000,0,50.8221,0,0
4,allocate_send_arrival,0,S00,5,terminal,0,51793,61,0,0,4,1000,0,62.4341,0,0
4,allocate_send_arrival,0,S00,5,terminal,0,51786,10,0,0,4,1000,0,62.5,0,0
4,allocate_send_arrival,0,S00,5,terminal,0,51783,108,0,0,4,1000,0,51.655,0,0
4,allocate_send_arrival,26,S33,0,switch,3,51792,67,0,0,4,174.708,0,39.7097,0,0
4,allocate_send_arrival,62,S56,1,switch,34,51790,124,0,0,4,238.377,0,62.5,0,0
4,allocate_send_arrival,59,S41,0,switch,13,51781,118,0,0,4,132.99,0,62.5,0,0
