interval,event,terminal,terminal_name,attached_switch,peer_terminal,gbit
0,generate_flow,14,S45.0,7,32,606.068
0,generate_flow,2,S01.0,1,7,428.687
0,generate_flow,25,S04.1,12,37,615.077
0,generate_flow,126,S54.0,63,86,712.695
0,generate_flow,22,S03.0,11,123,579.267
0,generate_flow,63,S62.1,31,72,629.166
0,generate_flow,127,S54.1,63,3,757.05
0,generate_flow,40,S15.0,20,73,580.288
0,generate_flow,88,S23.0,44,119,515.078
0,generate_flow,121,S44.1,60,91,521.249
0,generate_flow,89,S23.1,44,86,442.205
0,generate_flow,26,S40.0,13,121,593.633
0,generate_flow,67,S34.1,33,64,510.471
0,generate_flow,83,S49.1,41,3,519.224
0,generate_flow,66,S34.0,33,40,560.463
0,generate_flow,32,S11.0,16,17,687.57
0,generate_flow,96,S50.0,48,57,777.832
0,generate_flow,48,S08.0,24,36,732.808
0,generate_flow,75,S32.1,37,47,652.395
0,generate_flow,105,S30.1,52,43,630.417
0,generate_flow,93,S24.1,46,10,763.525
0,generate_flow,52,S33.0,26,24,798.563
0,generate_flow,65,S21.1,32,48,604.071
0,generate_flow,11,S63.1,5,121,667.558
0,generate_flow,68,S57.0,34,88,755.271
0,generate_flow,82,S49.0,41,16,438.77
0,generate_flow,71,S17.1,35,8,455.929
0,generate_flow,122,S46.0,61,65,599.861
0,generate_flow,17,S52.1,8,64,447.993
0,generate_flow,91,S28.1,45,53,679.302
0,generate_flow,31,S05.1,15,9,557.087
0,generate_flow,43,S53.1,21,39,634.43
0,generate_flow,44,S07.0,22,14,402.825
0,generate_flow,109,S31.1,54,1,470.789
0,generate_flow,125,S56.1,62,19,474.875
0,generate_flow,49,S08.1,24,118,715.611
0,generate_flow,37,S43.1,18,14,631.135
0,generate_flow,0,S00.0,0,64,424.342
0,generate_flow,28,S58.0,14,106,443.641
