interval,event,terminal,terminal_name,attached_switch,peer_terminal,gbit
0,trace_offer,47,S13.1,23,15,500
0,trace_offer,5,S05.1,2,37,500
0,trace_offer,53,S19.1,26,21,500
0,trace_offer,7,S09.1,3,39,500
0,trace_offer,55,S20.1,27,23,500
0,trace_offer,18,S21.0,9,50,500
0,trace_offer,56,S22.0,28,24,500
0,trace_offer,28,S29.0,14,60,500
0,trace_offer,49,S25.1,24,17,500
0,trace_offer,34,S08.0,17,2,500
0,trace_offer,60,S27.0,30,28,500
0,trace_offer,24,S16.0,12,56,500
0,trace_offer,37,S14.1,18,5,500
0,trace_offer,27,S30.1,13,59,500
0,trace_offer,35,S08.1,17,3,500
0,trace_offer,12,S23.0,6,44,500
0,trace_offer,46,S13.0,23,14,500
0,trace_offer,58,S24.0,29,26,500
0,trace_offer,29,S29.1,14,61,500
0,trace_offer,41,S11.1,20,9,500
0,trace_offer,14,S03.0,7,46,500
0,trace_offer,0,S00.0,0,32,500
0,trace_offer,57,S22.1,28,25,500
0,trace_offer,13,S23.1,6,45,500
0,trace_offer,10,S02.0,5,42,500
0,trace_offer,31,S06.1,15,63,500
0,trace_offer,32,S07.0,16,0,500
0,trace_offer,26,S30.0,13,58,500
0,trace_offer,4,S05.0,2,36,500
0,trace_offer,52,S19.0,26,20,500
0,trace_offer,8,S31.0,4,40,500
0,trace_offer,61,S27.1,30,29,500
0,trace_offer,40,S11.0,20,8,500
0,trace_offer,59,S24.1,29,27,500
0,trace_offer,17,S17.1,8,49,500
0,trace_offer,3,S01.1,1,35,500
0,trace_offer,63,S28.1,31,31,500
0,trace_offer,44,S15.0,22,12,500
0,trace_offer,20,S26.0,10,52,500
0,trace_offer,22,S04.0,11,54,500
0,trace_offer,11,S02.1,5,43,500
0,trace_offer,38,S10.0,19,6,500
0,trace_offer,33,S07.1,16,1,500
0,trace_offer,1,S00.1,0,33,500
0,trace_offer,21,S26.1,10,53,500
0,trace_offer,39,S10.1,19,7,500
0,trace_offer,16,S17.0,8,48,500
0,trace_offer,62,S28.0,31,30,500
0,trace_offer,15,S03.1,7,47,500
0,trace_offer,30,S06.0,15,62,500
0,trace_offer,23,S04.1,11,55,500
0,trace_offer,19,S21.1,9,51,500
0,trace_offer,9,S31.1,4,41,500
0,trace_offer,45,S15.1,22,13,500
0,trace_offer,54,S20.0,27,22,500
0,trace_offer,51,S18.1,25,19,500
0,trace_offer,48,S25.0,24,16,500
0,trace_offer,6,S09.0,3,38,500
0,trace_offer,2,S01.0,1,34,500
0,trace_offer,36,S14.0,18,4,500
0,trace_offer,50,S18.0,25,18,500
0,trace_offer,43,S12.1,21,11,500
0,trace_offer,25,S16.1,12,57,500
0,trace_offer,42,S12.0,21,10,500
0,send,15,S03.1,7,47,2.80353
0,send,12,S23.0,6,44,2.49636
0,send,42,S12.0,21,10,4.56359
0,send,31,S06.1,15,63,4.4415
0,send,46,S13.0,23,14,2.39324
0,send,32,S07.0,16,0,9.33875
0,send,21,S26.1,10,53,7.04564
0,send,40,S11.0,20,8,5.95578
0,send,18,S21.0,9,50,4.81761
0,send,1,S00.1,0,33,2.56554
0,send,25,S16.1,12,57,2.7086
0,send,55,S20.1,27,23,2.5908
0,send,52,S19.0,26,20,4.18833
0,send,7,S09.1,3,39,5.61466
0,send,4,S05.0,2,36,6.73074
0,send,58,S24.0,29,26,5.13304
0,send,26,S30.0,13,58,3.00088
0,send,27,S30.1,13,59,3.00088
0,send,3,S01.1,1,35,2.76219
0,send,49,S25.1,24,17,6.25658
0,send,45,S15.1,22,13,7.93759
0,send,28,S29.0,14,60,4.05862
0,send,8,S31.0,4,40,3.15212
0,send,61,S27.1,30,29,4.1481
0,send,2,S01.0,1,34,2.76219
0,send,57,S22.1,28,25,2.49281
0,send,17,S17.1,8,49,6.52733
0,send,53,S19.1,26,21,4.18833
0,send,59,S24.1,29,27,5.13304
0,send,41,S11.1,20,9,5.95578
0,send,6,S09.0,3,38,5.61466
0,send,9,S31.1,4,41,3.15212
0,send,23,S04.1,11,55,2.80529
0,send,62,S28.0,31,30,4.70258
0,send,48,S25.0,24,16,6.25658
0,send,50,S18.0,25,18,6.52574
0,send,60,S27.0,30,28,4.1481
0,send,37,S14.1,18,5,2.19526
0,send,54,S20.0,27,22,2.5908
0,send,39,S10.1,19,7,7.4583
0,send,35,S08.1,17,3,3.10221
0,send,11,S02.1,5,43,7.73517
0,send,0,S00.0,0,32,2.56554
0,send,16,S17.0,8,48,6.52733
0,send,5,S05.1,2,37,6.73074
0,send,36,S14.0,18,4,2.09727
0,send,51,S18.1,25,19,6.52574
0,send,19,S21.1,9,51,4.81761
0,send,47,S13.1,23,15,2.49181
0,send,24,S16.0,12,56,2.7075
0,send,63,S28.1,31,31,4.70258
0,send,56,S22.0,28,24,2.49281
0,send,38,S10.0,19,6,7.4583
0,send,22,S04.0,11,54,2.80529
0,send,44,S15.0,22,12,7.93759
0,send,20,S26.0,10,52,7.04564
0,send,29,S29.1,14,61,4.05862
0,send,30,S06.0,15,62,4.4415
0,send,10,S02.0,5,42,7.73517
0,send,14,S03.0,7,46,2.80353
0,send,43,S12.1,21,11,4.56359
0,send,34,S08.0,17,2,3.10221
0,send,33,S07.1,16,1,9.33875
0,send,13,S23.1,6,45,2.49694
1,send,12,S23.0,6,44,1.00691
1,send,25,S16.1,12,57,1.32338
1,send,10,S02.0,5,42,6.89725
1,send,42,S12.0,21,10,3.39413
1,send,59,S24.1,29,27,3.39413
1,send,43,S12.1,21,11,3.39413
1,send,40,S11.0,20,8,5.1017
1,send,62,S28.0,31,30,3.25135
1,send,53,S19.1,26,21,3.39413
1,send,26,S30.0,13,58,1.32338
1,send,21,S26.1,10,53,6.20145
1,send,38,S10.0,19,6,6.8997
1,send,52,S19.0,26,20,3.39413
1,send,13,S23.1,6,45,1.00691
1,send,5,S05.1,2,37,5.3104
1,send,14,S03.0,7,46,1.32338
1,send,4,S05.0,2,36,5.3104
1,send,46,S13.0,23,14,1.00691
1,send,3,S01.1,1,35,1.67728
1,send,30,S06.0,15,62,3.28087
1,send,58,S24.0,29,26,3.39413
1,send,57,S22.1,28,25,1.00691
1,send,31,S06.1,15,63,3.28087
1,send,11,S02.1,5,43,6.89725
1,send,44,S15.0,22,12,6.53562
1,send,48,S25.0,24,16,5.118
1,send,37,S14.1,18,5,1.00691
1,send,6,S09.0,3,38,5.01968
1,send,36,S14.0,18,4,1.00691
1,send,7,S09.1,3,39,5.01968
1,send,32,S07.0,16,0,8.2376
1,send,1,S00.1,0,33,1.67728
1,send,27,S30.1,13,59,1.32338
1,send,39,S10.1,19,7,6.8997
1,send,17,S17.1,8,49,5.39042
1,send,24,S16.0,12,56,1.32338
1,send,50,S18.0,25,18,5.39042
1,send,47,S13.1,23,15,1.00691
1,send,45,S15.1,22,13,6.53562
1,send,41,S11.1,20,9,5.1017
1,send,61,S27.1,30,29,3.25135
1,send,15,S03.1,7,47,1.32338
1,send,23,S04.1,11,55,1.32338
1,send,51,S18.1,25,19,5.39042
1,send,0,S00.0,0,32,1.67728
1,send,19,S21.1,9,51,3.66155
1,send,35,S08.1,17,3,1.32338
1,send,9,S31.1,4,41,1.67728
1,send,18,S21.0,9,50,3.66155
1,send,16,S17.0,8,48,5.39042
1,send,20,S26.0,10,52,6.20145
1,send,33,S07.1,16,1,8.2376
1,send,54,S20.0,27,22,1.00691
1,send,22,S04.0,11,54,1.32338
1,send,63,S28.1,31,31,3.25135
1,send,56,S22.0,28,24,1.00691
1,send,2,S01.0,1,34,1.67728
1,send,55,S20.1,27,23,1.00691
1,send,29,S29.1,14,61,3.2849
1,send,28,S29.0,14,60,3.2849
1,send,49,S25.1,24,17,5.118
1,send,34,S08.0,17,2,1.32338
1,send,60,S27.0,30,28,3.25135
1,send,8,S31.0,4,40,1.67728
2,send,0,S00.0,0,32,1.67728
2,send,60,S27.0,30,28,3.25135
2,send,27,S30.1,13,59,1.32338
2,send,61,S27.1,30,29,3.25135
2,send,50,S18.0,25,18,5.39042
2,send,46,S13.0,23,14,1.00691
2,send,16,S17.0,8,48,5.39042
2,send,26,S30.0,13,58,1.32338
2,send,15,S03.1,7,47,1.32338
2,send,36,S14.0,18,4,1.00691
2,send,29,S29.1,14,61,3.2849
2,send,63,S28.1,31,31,3.25135
2,send,24,S16.0,12,56,1.32338
2,send,33,S07.1,16,1,8.2376
2,send,35,S08.1,17,3,1.32338
2,send,51,S18.1,25,19,5.39042
2,send,38,S10.0,19,6,6.8997
2,send,17,S17.1,8,49,5.39042
2,send,14,S03.0,7,46,1.32338
2,send,2,S01.0,1,34,1.67728
2,send,31,S06.1,15,63,3.28087
2,send,52,S19.0,26,20,3.39413
2,send,43,S12.1,21,11,3.39413
2,send,5,S05.1,2,37,5.3104
2,send,55,S20.1,27,23,1.00691
2,send,42,S12.0,21,10,3.39413
2,send,11,S02.1,5,43,6.89725
2,send,47,S13.1,23,15,1.00691
2,send,25,S16.1,12,57,1.32338
2,send,49,S25.1,24,17,5.118
2,send,45,S15.1,22,13,6.53562
2,send,28,S29.0,14,60,3.2849
2,send,30,S06.0,15,62,3.28087
2,send,34,S08.0,17,2,1.32338
2,send,39,S10.1,19,7,6.8997
2,send,53,S19.1,26,21,3.39413
2,send,3,S01.1,1,35,1.67728
2,send,4,S05.0,2,36,5.3104
2,send,41,S11.1,20,9,5.1017
2,send,56,S22.0,28,24,1.00691
2,send,32,S07.0,16,0,8.2376
2,send,7,S09.1,3,39,5.01968
2,send,9,S31.1,4,41,1.67728
2,send,1,S00.1,0,33,1.67728
2,send,10,S02.0,5,42,6.89725
2,send,19,S21.1,9,51,3.66155
2,send,37,S14.1,18,5,1.00691
2,send,12,S23.0,6,44,1.00691
2,send,20,S26.0,10,52,6.20145
2,send,22,S04.0,11,54,1.32338
2,send,44,S15.0,22,12,6.53562
2,send,8,S31.0,4,40,1.67728
2,send,62,S28.0,31,30,3.25135
2,send,6,S09.0,3,38,5.01968
2,send,54,S20.0,27,22,1.00691
2,send,59,S24.1,29,27,3.39413
2,send,57,S22.1,28,25,1.00691
2,send,21,S26.1,10,53,6.20145
2,send,48,S25.0,24,16,5.118
2,send,18,S21.0,9,50,3.66155
2,send,13,S23.1,6,45,1.00691
2,send,23,S04.1,11,55,1.32338
2,send,40,S11.0,20,8,5.1017
2,send,58,S24.0,29,26,3.39413
3,receive,39,S10.1,19,7,5.61466
3,receive,38,S10.0,19,6,5.61466
3,receive,7,S09.1,3,39,6.8997
3,receive,6,S09.0,3,38,6.8997
3,send,36,S14.0,18,4,1.00691
3,send,52,S19.0,26,20,3.39413
3,send,37,S14.1,18,5,1.00691
3,send,57,S22.1,28,25,1.00691
3,send,32,S07.0,16,0,8.2376
3,send,17,S17.1,8,49,5.39042
3,send,8,S31.0,4,40,1.67728
3,send,62,S28.0,31,30,3.25135
3,send,11,S02.1,5,43,6.89725
3,send,24,S16.0,12,56,1.32338
3,send,16,S17.0,8,48,5.39042
3,send,43,S12.1,21,11,3.39413
3,send,50,S18.0,25,18,5.39042
3,send,34,S08.0,17,2,1.32338
3,send,53,S19.1,26,21,3.39413
3,send,60,S27.0,30,28,3.25135
3,send,45,S15.1,22,13,6.53562
3,send,44,S15.0,22,12,6.53562
3,send,51,S18.1,25,19,5.39042
3,send,2,S01.0,1,34,1.67728
3,send,13,S23.1,6,45,1.00691
3,send,26,S30.0,13,58,1.32338
3,send,23,S04.1,11,55,1.32338
3,send,19,S21.1,9,51,3.66155
3,send,18,S21.0,9,50,3.66155
3,send,48,S25.0,24,16,5.118
3,send,28,S29.0,14,60,3.2849
3,send,21,S26.1,10,53,6.20145
3,send,39,S10.1,19,7,6.8997
3,send,49,S25.1,24,17,5.118
3,send,59,S24.1,29,27,3.39413
3,send,9,S31.1,4,41,1.67728
3,send,46,S13.0,23,14,1.00691
3,send,30,S06.0,15,62,3.28087
3,send,58,S24.0,29,26,3.39413
3,send,25,S16.1,12,57,1.32338
3,send,7,S09.1,3,39,5.01968
3,send,55,S20.1,27,23,1.00691
3,send,15,S03.1,7,47,1.32338
3,send,31,S06.1,15,63,3.28087
3,send,14,S03.0,7,46,1.32338
3,send,47,S13.1,23,15,1.00691
3,send,41,S11.1,20,9,5.1017
3,send,5,S05.1,2,37,5.3104
3,send,4,S05.0,2,36,5.3104
3,send,10,S02.0,5,42,6.89725
3,send,63,S28.1,31,31,3.25135
3,send,0,S00.0,0,32,1.67728
3,send,40,S11.0,20,8,5.1017
3,send,20,S26.0,10,52,6.20145
3,send,35,S08.1,17,3,1.32338
3,send,33,S07.1,16,1,8.2376
3,send,22,S04.0,11,54,1.32338
3,send,6,S09.0,3,38,5.01968
3,send,29,S29.1,14,61,3.2849
3,send,1,S00.1,0,33,1.67728
3,send,27,S30.1,13,59,1.32338
3,send,56,S22.0,28,24,1.00691
3,send,61,S27.1,30,29,3.25135
3,send,12,S23.0,6,44,1.00691
3,send,54,S20.0,27,22,1.00691
3,send,42,S12.0,21,10,3.39413
3,send,3,S01.1,1,35,1.67728
3,send,38,S10.0,19,6,6.8997
4,receive,61,S27.1,30,29,4.05862
4,receive,29,S29.1,14,61,3.25135
4,receive,43,S12.1,21,11,6.89725
4,receive,6,S09.0,3,38,6.8997
4,receive,21,S26.1,10,53,3.39413
4,receive,8,S31.0,4,40,5.1017
4,receive,52,S19.0,26,20,6.20145
4,receive,53,S19.1,26,21,6.20145
4,receive,32,S07.0,16,0,2.56554
4,receive,20,S26.0,10,52,3.39413
4,receive,9,S31.1,4,41,5.1017
4,receive,60,S27.0,30,28,4.05862
4,receive,39,S10.1,19,7,5.01968
4,receive,42,S12.0,21,10,6.89725
4,receive,38,S10.0,19,6,5.01968
4,receive,7,S09.1,3,39,6.8997
4,receive,28,S29.0,14,60,3.25135
4,receive,33,S07.1,16,1,2.56554
4,send,19,S21.1,9,51,3.66155
4,send,26,S30.0,13,58,1.32338
4,send,34,S08.0,17,2,1.32338
4,send,16,S17.0,8,48,5.39042
4,send,57,S22.1,28,25,1.00691
4,send,28,S29.0,14,60,3.2849
4,send,49,S25.1,24,17,5.118
4,send,15,S03.1,7,47,1.32338
4,send,31,S06.1,15,63,3.28087
4,send,12,S23.0,6,44,1.00691
4,send,21,S26.1,10,53,6.20145
4,send,58,S24.0,29,26,3.39413
4,send,24,S16.0,12,56,1.32338
4,send,10,S02.0,5,42,6.89725
4,send,55,S20.1,27,23,1.00691
4,send,5,S05.1,2,37,5.3104
4,send,56,S22.0,28,24,1.00691
4,send,38,S10.0,19,6,6.8997
4,send,11,S02.1,5,43,6.89725
4,send,63,S28.1,31,31,3.25135
4,send,7,S09.1,3,39,5.01968
4,send,9,S31.1,4,41,1.67728
4,send,35,S08.1,17,3,1.32338
4,send,60,S27.0,30,28,3.25135
4,send,42,S12.0,21,10,3.39413
4,send,23,S04.1,11,55,1.32338
4,send,61,S27.1,30,29,3.25135
4,send,54,S20.0,27,22,1.00691
4,send,53,S19.1,26,21,3.39413
4,send,4,S05.0,2,36,5.3104
4,send,43,S12.1,21,11,3.39413
4,send,51,S18.1,25,19,5.39042
4,send,17,S17.1,8,49,5.39042
4,send,46,S13.0,23,14,1.00691
4,send,6,S09.0,3,38,5.01968
4,send,52,S19.0,26,20,3.39413
4,send,47,S13.1,23,15,1.00691
4,send,0,S00.0,0,32,1.67728
4,send,41,S11.1,20,9,5.1017
4,send,8,S31.0,4,40,1.67728
4,send,33,S07.1,16,1,8.2376
4,send,44,S15.0,22,12,6.53562
4,send,36,S14.0,18,4,1.00691
4,send,25,S16.1,12,57,1.32338
4,send,29,S29.1,14,61,3.2849
4,send,59,S24.1,29,27,3.39413
4,send,1,S00.1,0,33,1.67728
4,send,2,S01.0,1,34,1.67728
4,send,50,S18.0,25,18,5.39042
4,send,30,S06.0,15,62,3.28087
4,send,45,S15.1,22,13,6.53562
4,send,13,S23.1,6,45,1.00691
4,send,40,S11.0,20,8,5.1017
4,send,20,S26.0,10,52,6.20145
4,send,14,S03.0,7,46,1.32338
4,send,37,S14.1,18,5,1.00691
4,send,18,S21.0,9,50,3.66155
4,send,32,S07.0,16,0,8.2376
4,send,27,S30.1,13,59,1.32338
4,send,3,S01.1,1,35,1.67728
4,send,62,S28.0,31,30,3.25135
4,send,39,S10.1,19,7,6.8997
4,send,48,S25.0,24,16,5.118
4,send,22,S04.0,11,54,1.32338
5,receive,28,S29.0,14,60,3.69972
5,receive,33,S07.1,16,1,1.67728
5,receive,29,S29.1,14,61,3.69972
5,receive,32,S07.0,16,0,1.67728
5,receive,35,S08.1,17,3,1.67728
5,receive,61,S27.1,30,29,3.2849
5,receive,48,S25.0,24,16,5.39042
5,receive,52,S19.0,26,20,6.20145
5,receive,1,S00.1,0,33,8.2376
5,receive,5,S05.1,2,37,2.19526
5,receive,60,S27.0,30,28,3.2849
5,receive,0,S00.0,0,32,8.2376
5,receive,10,S02.0,5,42,3.39413
5,receive,19,S21.1,9,51,6.52574
5,receive,8,S31.0,4,40,5.1017
5,receive,17,S17.1,8,49,6.25658
5,receive,62,S28.0,31,30,3.2849
5,receive,51,S18.1,25,19,4.81761
5,receive,50,S18.0,25,18,4.81761
5,receive,6,S09.0,3,38,6.8997
5,receive,7,S09.1,3,39,6.8997
5,receive,34,S08.0,17,2,1.67728
5,receive,38,S10.0,19,6,5.01968
5,receive,21,S26.1,10,53,2.95415
5,receive,49,S25.1,24,17,5.39042
5,receive,20,S26.0,10,52,2.95415
5,receive,43,S12.1,21,11,6.89725
5,receive,11,S02.1,5,43,3.39413
5,receive,4,S05.0,2,36,2.09727
5,receive,63,S28.1,31,31,3.2849
5,receive,53,S19.1,26,21,6.20145
5,receive,42,S12.0,21,10,6.89725
5,receive,16,S17.0,8,48,6.25658
5,receive,39,S10.1,19,7,5.01968
5,receive,9,S31.1,4,41,5.1017
5,receive,18,S21.0,9,50,6.52574
5,send,7,S09.1,3,39,5.01968
5,send,41,S11.1,20,9,5.1017
5,send,56,S22.0,28,24,1.00691
5,send,44,S15.0,22,12,6.53562
5,send,36,S14.0,18,4,1.00691
5,send,18,S21.0,9,50,3.66155
5,send,13,S23.1,6,45,1.00691
5,send,58,S24.0,29,26,3.39413
5,send,16,S17.0,8,48,5.39042
5,send,50,S18.0,25,18,5.39042
5,send,2,S01.0,1,34,1.67728
5,send,9,S31.1,4,41,1.67728
5,send,21,S26.1,10,53,6.20145
5,send,25,S16.1,12,57,1.32338
5,send,39,S10.1,19,7,6.8997
5,send,35,S08.1,17,3,1.32338
5,send,15,S03.1,7,47,1.32338
5,send,61,S27.1,30,29,3.25135
5,send,14,S03.0,7,46,1.32338
5,send,33,S07.1,16,1,8.2376
5,send,3,S01.1,1,35,1.67728
5,send,49,S25.1,24,17,5.118
5,send,6,S09.0,3,38,5.01968
5,send,51,S18.1,25,19,5.39042
5,send,54,S20.0,27,22,1.00691
5,send,4,S05.0,2,36,5.3104
5,send,12,S23.0,6,44,1.00691
5,send,28,S29.0,14,60,3.2849
5,send,17,S17.1,8,49,5.39042
5,send,11,S02.1,5,43,6.89725
5,send,5,S05.1,2,37,5.3104
5,send,8,S31.0,4,40,1.67728
5,send,42,S12.0,21,10,3.39413
5,send,32,S07.0,16,0,8.2376
5,send,60,S27.0,30,28,3.25135
5,send,62,S28.0,31,30,3.25135
5,send,26,S30.0,13,58,1.32338
5,send,22,S04.0,11,54,1.32338
5,send,59,S24.1,29,27,3.39413
5,send,47,S13.1,23,15,1.00691
5,send,52,S19.0,26,20,3.39413
5,send,24,S16.0,12,56,1.32338
5,send,37,S14.1,18,5,1.00691
5,send,63,S28.1,31,31,3.25135
5,send,53,S19.1,26,21,3.39413
5,send,23,S04.1,11,55,1.32338
5,send,46,S13.0,23,14,1.00691
5,send,27,S30.1,13,59,1.32338
5,send,20,S26.0,10,52,6.20145
5,send,55,S20.1,27,23,1.00691
5,send,57,S22.1,28,25,1.00691
5,send,43,S12.1,21,11,3.39413
5,send,34,S08.0,17,2,1.32338
5,send,38,S10.0,19,6,6.8997
5,send,48,S25.0,24,16,5.118
5,send,40,S11.0,20,8,5.1017
5,send,0,S00.0,0,32,1.67728
5,send,30,S06.0,15,62,3.28087
5,send,45,S15.1,22,13,6.53562
5,send,19,S21.1,9,51,3.66155
5,send,31,S06.1,15,63,3.28087
5,send,1,S00.1,0,33,1.67728
5,send,10,S02.0,5,42,6.89725
5,send,29,S29.1,14,61,3.2849
6,receive,10,S02.0,5,42,3.3294
6,receive,51,S18.1,25,19,3.66155
6,receive,42,S12.0,21,10,6.89725
6,receive,55,S20.1,27,23,1.76451
6,receive,12,S23.0,6,44,7.93759
6,receive,29,S29.1,14,61,3.25135
6,receive,7,S09.1,3,39,6.8997
6,receive,8,S31.0,4,40,5.1017
6,receive,9,S31.1,4,41,5.1017
6,receive,11,S02.1,5,43,3.3294
6,receive,44,S15.0,22,12,0.594333
6,receive,40,S11.0,20,8,1.67728
6,receive,5,S05.1,2,37,1.00691
6,receive,41,S11.1,20,9,1.67728
6,receive,28,S29.0,14,60,3.25135
6,receive,18,S21.0,9,50,5.39042
6,receive,45,S15.1,22,13,0.594333
6,receive,16,S17.0,8,48,5.118
6,receive,34,S08.0,17,2,1.90894
6,receive,17,S17.1,8,49,5.118
6,receive,14,S03.0,7,46,2.39324
6,receive,46,S13.0,23,14,2.06141
6,receive,39,S10.1,19,7,5.01967
6,receive,63,S28.1,31,31,3.8632
6,receive,52,S19.0,26,20,6.20145
6,receive,20,S26.0,10,52,3.39413
6,receive,53,S19.1,26,21,6.20145
6,receive,47,S13.1,23,15,2.06141
6,receive,48,S25.0,24,16,5.95888
6,receive,37,S14.1,18,5,6.73074
6,receive,32,S07.0,16,0,0.824035
6,receive,30,S06.0,15,62,4.70258
6,receive,19,S21.1,9,51,5.39042
6,receive,62,S28.0,31,30,3.8632
6,receive,15,S03.1,7,47,2.49181
6,receive,33,S07.1,16,1,0.824035
6,receive,25,S16.1,12,57,1.51036
6,receive,36,S14.0,18,4,6.73074
6,receive,31,S06.1,15,63,4.70258
6,receive,57,S22.1,28,25,1.76451
6,receive,38,S10.0,19,6,5.01967
6,receive,24,S16.0,12,56,1.51036
6,receive,60,S27.0,30,28,3.2849
6,receive,49,S25.1,24,17,5.95888
6,receive,13,S23.1,6,45,7.93759
6,receive,56,S22.0,28,24,1.76451
6,receive,43,S12.1,21,11,6.89725
6,receive,0,S00.0,0,32,8.2376
6,receive,54,S20.0,27,22,1.76451
6,receive,50,S18.0,25,18,3.66155
6,receive,4,S05.0,2,36,1.00691
6,receive,35,S08.1,17,3,1.90894
6,receive,61,S27.1,30,29,3.2849
6,receive,21,S26.1,10,53,3.39413
6,receive,1,S00.1,0,33,8.2376
6,receive,6,S09.0,3,38,6.8997
6,send,30,S06.0,15,62,3.28087
6,send,59,S24.1,29,27,3.39413
6,send,19,S21.1,9,51,3.66155
6,send,36,S14.0,18,4,1.00691
6,send,8,S31.0,4,40,1.67728
6,send,32,S07.0,16,0,8.2376
6,send,29,S29.1,14,61,3.2849
6,send,24,S16.0,12,56,1.32338
6,send,15,S03.1,7,47,1.32338
6,send,56,S22.0,28,24,1.00691
6,send,57,S22.1,28,25,1.00691
6,send,51,S18.1,25,19,5.39042
6,send,55,S20.1,27,23,1.00691
6,send,3,S01.1,1,35,1.67728
6,send,53,S19.1,26,21,3.39413
6,send,20,S26.0,10,52,6.20145
6,send,21,S26.1,10,53,6.20145
6,send,52,S19.0,26,20,3.39413
6,send,47,S13.1,23,15,1.00691
6,send,58,S24.0,29,26,3.39413
6,send,22,S04.0,11,54,1.32338
6,send,35,S08.1,17,3,1.32338
6,send,2,S01.0,1,34,1.67728
6,send,28,S29.0,14,60,3.2849
6,send,5,S05.1,2,37,5.3104
6,send,25,S16.1,12,57,1.32338
6,send,62,S28.0,31,30,3.25135
6,send,14,S03.0,7,46,1.32338
6,send,6,S09.0,3,38,5.01968
6,send,34,S08.0,17,2,1.32338
6,send,48,S25.0,24,16,5.118
6,send,18,S21.0,9,50,3.66155
6,send,44,S15.0,22,12,6.53562
6,send,41,S11.1,20,9,5.1017
6,send,49,S25.1,24,17,5.118
6,send,46,S13.0,23,14,1.00691
6,send,16,S17.0,8,48,5.39042
6,send,17,S17.1,8,49,5.39042
6,send,11,S02.1,5,43,6.89725
6,send,61,S27.1,30,29,3.25135
6,send,12,S23.0,6,44,1.00691
6,send,37,S14.1,18,5,1.00691
6,send,39,S10.1,19,7,6.8997
6,send,23,S04.1,11,55,1.32338
6,send,1,S00.1,0,33,1.67728
6,send,27,S30.1,13,59,1.32338
6,send,33,S07.1,16,1,8.2376
6,send,31,S06.1,15,63,3.28087
6,send,9,S31.1,4,41,1.67728
6,send,63,S28.1,31,31,3.25135
6,send,13,S23.1,6,45,1.00691
6,send,42,S12.0,21,10,3.39413
6,send,45,S15.1,22,13,6.53562
6,send,7,S09.1,3,39,5.01968
6,send,0,S00.0,0,32,1.67728
6,send,54,S20.0,27,22,1.00691
6,send,43,S12.1,21,11,3.39413
6,send,26,S30.0,13,58,1.32338
6,send,38,S10.0,19,6,6.8997
6,send,40,S11.0,20,8,5.1017
6,send,10,S02.0,5,42,6.89725
6,send,4,S05.0,2,36,5.3104
6,send,60,S27.0,30,28,3.25135
6,send,50,S18.0,25,18,5.39042
7,receive,13,S23.1,6,45,6.53562
7,receive,56,S22.0,28,24,1.79204
7,receive,4,S05.0,2,36,1.00691
7,receive,3,S01.1,1,35,0.943915
7,receive,62,S28.0,31,30,3.28289
7,receive,1,S00.1,0,33,8.2376
7,receive,40,S11.0,20,8,2.29888
7,receive,20,S26.0,10,52,3.39413
7,receive,46,S13.0,23,14,2.06549
7,receive,45,S15.1,22,13,1.85051
7,receive,63,S28.1,31,31,3.28289
7,receive,41,S11.1,20,9,2.29888
7,receive,52,S19.0,26,20,6.20145
7,receive,44,S15.0,22,12,1.85051
7,receive,19,S21.1,9,51,4.82197
7,receive,11,S02.1,5,43,3.39413
7,receive,6,S09.0,3,38,6.8997
7,receive,42,S12.0,21,10,6.89725
7,receive,47,S13.1,23,15,2.06549
7,receive,14,S03.0,7,46,1.00691
7,receive,53,S19.1,26,21,6.20145
7,receive,58,S24.0,29,26,1.76451
7,receive,21,S26.1,10,53,3.39413
7,receive,38,S10.0,19,6,5.01968
7,receive,12,S23.0,6,44,6.53562
7,receive,26,S30.0,13,58,3.39413
7,receive,24,S16.0,12,56,1.57678
7,receive,61,S27.1,30,29,2.7066
7,receive,18,S21.0,9,50,4.82197
7,receive,5,S05.1,2,37,1.00691
7,receive,36,S14.0,18,4,5.3104
7,receive,0,S00.0,0,32,8.2376
7,receive,34,S08.0,17,2,1.67728
7,receive,37,S14.1,18,5,5.3104
7,receive,25,S16.1,12,57,1.57678
7,receive,50,S18.0,25,18,3.66155
7,receive,10,S02.0,5,42,3.39413
7,receive,28,S29.0,14,60,3.25135
7,receive,9,S31.1,4,41,5.1017
7,receive,30,S06.0,15,62,3.25135
7,receive,60,S27.0,30,28,2.7066
7,receive,16,S17.0,8,48,5.118
7,receive,43,S12.1,21,11,6.89725
7,receive,55,S20.1,27,23,1.88984
7,receive,27,S30.1,13,59,3.39413
7,receive,35,S08.1,17,3,1.67728
7,receive,7,S09.1,3,39,6.8997
7,receive,32,S07.0,16,0,1.67728
7,receive,49,S25.1,24,17,5.39042
7,receive,29,S29.1,14,61,3.25135
7,receive,33,S07.1,16,1,1.67728
7,receive,8,S31.0,4,40,5.1017
7,receive,31,S06.1,15,63,3.25135
7,receive,15,S03.1,7,47,1.00691
7,receive,54,S20.0,27,22,1.88984
7,receive,59,S24.1,29,27,1.76451
7,receive,22,S04.0,11,54,1.51036
7,receive,39,S10.1,19,7,5.01968
7,receive,17,S17.1,8,49,5.118
7,receive,48,S25.0,24,16,5.39042
7,receive,51,S18.1,25,19,3.66155
